Évek;Kód;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Nyíregyháza;HU003C;115954;116298;116874;117597;117832;119746;118192;118185;118164;118125;118058;117689;117121;116799;116814
Pécs;HU004C;156116;156649;156664;156974;157680;156049;149992;147719;146581;145985;145347;144675;144188;142873;141843
Debrecen;HU005C;204083;204124;205084;206225;207270;211320;205076;204333;203914;203506;203059;201981;202214;201432;201112
Szeged;HU006C;163259;164883;167039;169030;169713;168048;162183;161837;161921;162593;162621;161137;161122;160766;160258
Gyõr;HU007C;128265;128808;130476;130476;130478;129527;128193;128567;128902;129372;129568;129301;130094;132038;133946
Kecskemét;HU008C;108835;109847;110316;111428;112233;111411;111264;111863;112071;111836;111724;110813;110638;110687;110373
Székesfehérvár;HU009C;101600;101755;101755;102035;101973;100570;99617;99247;99060;98673;98207;97617;97382;96940;96529
Lisboa;PT001C;1801940;1797188;1790389;1784236;1857112;1863069;1860256;1849472;1837852;1835785;1835894;1842352;1851077;1859838;1872036
Braga;PT003C;173946;175063;176154;177183;180414;181481;182176;182110;181847;181553;181502;181182;181382;181919;182679
Funchal;PT004C;99759;99214;98583;97793;111599;111990;109990;109149;108053;106721;105562;104813;104442;104129;104024
Coimbra;PT005C;139083;137212;135314;133426;144301;143589;141360;139151;136964;135592;134578;134348;134156;133724;134166
Setúbal;PT006C;122554;123564;124459;125293;120643;121257;120864;119799;118689;118166;117780;116979;116330;115758;115126
Ponta Delgada;PT007C;64384;64246;64092;63933;68679;68795;68846;68876;68768;68517;68403;68352;68055;67864;67935
Aveiro;PT008C;73559;73347;73100;72919;78084;78463;78093;77675;77229;76935;76882;77241;77630;77916;78734
Faro;PT009C;58664;58739;58698;58675;64032;64600;63172;62281;61334;61214;61019;61073;60920;60974;61015
Sintra;PT014C;428470;437471;445872;454188;376921;377680;379786;379963;379756;380934;382521;383946;386038;388434;391402
Guimarães;PT015C;162572;162618;162636;162592;159010;158211;158048;157214;156310;155508;154920;153995;153294;152792;152309
Vila Franca de Xira;PT016C;137915;140091;142163;144123;135572;136875;138142;138710;139110;139918;140614;140844;141227;141603;141957
Bratislava;SK001C;426091;426927;428791;431061;432801;411228;413192;415589;417389;419678;422932;425923;429564;432864;437726
Košice;SK002C;234596;234237;233659;233880;233886;240433;240688;240164;239797;239464;239200;239141;239095;238757;238593
Banská Bystrica;SK003C;80730;80466;80106;79990;79819;80003;79775;79583;79368;79027;78758;78635;78484;78327;78084
Nitra;SK004C;84800;84444;84070;83692;83444;78916;78875;78607;78351;78033;77670;77374;77048;76655;76533
Prešov;SK005C;91650;91498;91273;91193;90835;91782;91638;91352;90923;90187;89959;89618;89138;88680;88464
Žilina;SK006C;85477;85370;85327;85252;85129;81494;81515;81382;81273;81155;81114;81041;80978;80810;80727
Trnava;SK007C;68466;68038;67726;67605;67368;66358;66219;66073;65978;65713;65596;65536;65382;65207;65033
Trencín;SK008C;56760;56759;56826;56514;56403;55877;55832;55883;55886;55857;55698;55593;55537;55333;55383
Helsinki/Helsingfors;FI001C;560905;564521;568531;576632;583350;588549;595384;603968;612664;620715;628208;635181;643272;648042;653835
Tampere/Tammerfors;FI002C;204337;206368;207866;209552;211507;213217;215168;217421;220446;223004;225118;228274;231853;235239;238140
Turku/Åbo;FI003C;174868;175354;175286;175582;176087;177326;178630;180225;182072;183824;185908;187604;189669;191331;192962
Oulu/Uleåborg;FI004C;128962;130178;131585;137061;139133;141671;143909;190847;193798;196291;198525;200526;201810;203567;205489
Espoo/Esbo;FI005C;231704;235019;238047;241565;244330;247970;252439;256824;260753;265543;269802;274583;279044;283632;289731
Vantaa/Vanda;FI006C;187281;189711;192522;195397;197636;200055;203001;205312;208098;210803;214605;219341;223027;228166;233775
Lahti/Lahtis;FI007C;98413;98766;99308;100080;100854;101588;102308;103016;103364;103754;118743;119452;119573;119951;119823
Kuopio;FI008C;90726;90960;91320;91959;92626;96793;97433;105136;106342;111289;112117;117740;118209;118664;119282
Jyväskylä;FI009C;84434;84739;85402;128028;129623;130816;132062;133482;134658;135780;137368;138850;140188;141305;142400
Winterthur;CH007C;96145;97732;99304;100977;101745;101308;103075;104468;105676;106778;108268;109775;110912;111851;113173
St. Gallen;CH009C;73177;73686;74105;74996;75802;72959;73505;74111;74581;75310;75538;75481;75522;75833;76090
